username,created_at,lng,lat,text,,,,
ibarakirobots, Sun Jan 24 03:48:31 +0000 2021,140.448989,36.380449, 🏀HOME GAME DAY🏀ADASTRIA presentsB.LEAGUE B2 GAME32🆚#バンビシャス奈良📍アダストリアみとアリーナ⌚️14:00Tip-off選手たちはコートでのアップを開始しています… https://t.co/Vt6Qvs9Tsj ,,,,
KCBJazz, Sun Jan 24 03:48:31 +0000 2021,-87.967292,43.056722, My State is doing pretty good on the athletic side of things... Packers going to WIN m move on to Super Bowl/Bring… https://t.co/VcQBUpLwjL ,,,,
TheLastAlexand1, Sun Jan 24 03:48:31 +0000 2021,-87.732013,41.833585, But what girl actually matches the energy ,,,,
KanklesRuelas, Sun Jan 24 03:48:31 +0000 2021,-116.237907,33.744633, @SonsOfWar760 Yea broooo watch it ,,,,
JChadHammonds, Sun Jan 24 03:48:31 +0000 2021,-97.4821,31.077449, @bankrollmarea @TrueToTheCru @RonnieBrooksOL @Coach_Thrash Congrats #reCRUit21! Come be part of the family. ,,,,
DejuanD, Sun Jan 24 03:48:31 +0000 2021,-84.541562,33.588263, @FanaticFred Come on??? ,,,,
KyleHighRadio, Sun Jan 24 03:48:31 +0000 2021,-104.949845,39.905474, Live by Will Barton - die by Will Barton.#Nuggets 2021. ,,,,
melizzyt, Sun Jan 24 03:48:31 +0000 2021,-86.680738,32.576227, and then dies ,,,,
alemiredesigns, Sun Jan 24 03:48:31 +0000 2021,-75.800141,45.248791, @ChrissyPenney18 @CanadiensMTL @CP0031 @ByAngelaPrice Thanks!! ,,,,
Susiero60210605, Sun Jan 24 03:48:31 +0000 2021,-73.948775,40.655138, https://t.co/aeuBZSRL57 My hotel parties be lit 🔥🤪 https://t.co/fTtL1Pzif2 ,,,,
annpannok, Sun Jan 24 03:48:32 +0000 2021,139.3881,35.562427, もう年齢層そこに絞って生きてった方がええか？ ,,,,
jakeem_morgan, Sun Jan 24 03:48:32 +0000 2021,-117.462698,34.10816, @cwillpoetry Clippers (good) got worseNuggets (good) got worseBlazers (decent) stayed the sameJazz (decent) stay… https://t.co/Euwp1PVReu ,,,,
dutchesandhaze, Sun Jan 24 03:48:32 +0000 2021,-77.578375,38.750869, @qtbunn wya ,,,,
kono_san, Sun Jan 24 03:48:32 +0000 2021,135.620171,34.606295, #音楽が聞こえて来たら負け https://t.co/m4oNOMidg5 ,,,,
TrueDumbBlonde, Sun Jan 24 03:48:32 +0000 2021,-95.829278,29.696957, This is gold #chicorose @ Katy, Texas https://t.co/G8oF4p5riV ,,,
